site,capture_date,v1_split,v2_split
PUC,2012-09-11,adaptation_validation,unused_reserve
PUC,2012-09-12,heldout_evaluation,v2_train
PUC,2012-09-13,heldout_evaluation,v2_validation
PUC,2012-09-14,heldout_evaluation,v2_validation
PUC,2012-09-15,heldout_evaluation,unused_reserve
PUC,2012-09-16,adaptation_train,unused_reserve
PUC,2012-09-17,heldout_evaluation,unused_reserve
PUC,2012-09-18,heldout_evaluation,v2_fresh_final_evaluation
PUC,2012-09-19,heldout_evaluation,v2_fresh_final_evaluation
PUC,2012-09-20,heldout_evaluation,unused_reserve
PUC,2012-09-21,heldout_evaluation,unused_reserve
PUC,2012-09-27,heldout_evaluation,unused_reserve
PUC,2012-09-28,heldout_evaluation,v2_fresh_final_evaluation
PUC,2012-09-29,heldout_evaluation,unused_reserve
PUC,2012-10-05,heldout_evaluation,unused_reserve
PUC,2012-10-09,heldout_evaluation,v2_train
PUC,2012-10-11,heldout_evaluation,unused_reserve
PUC,2012-10-12,heldout_evaluation,unused_reserve
PUC,2012-10-13,heldout_evaluation,v2_fresh_final_evaluation
PUC,2012-10-14,heldout_evaluation,v2_train
PUC,2012-10-15,adaptation_validation,unused_reserve
PUC,2012-10-16,heldout_evaluation,unused_reserve
PUC,2012-10-17,heldout_evaluation,unused_reserve
PUC,2012-10-23,heldout_evaluation,unused_reserve
PUC,2012-10-25,heldout_evaluation,unused_reserve
PUC,2012-10-26,heldout_evaluation,v2_fresh_final_evaluation
PUC,2012-10-27,heldout_evaluation,v2_fresh_final_evaluation
PUC,2012-10-28,heldout_evaluation,unused_reserve
PUC,2012-10-29,heldout_evaluation,unused_reserve
PUC,2012-10-30,heldout_evaluation,unused_reserve
PUC,2012-10-31,heldout_evaluation,unused_reserve
PUC,2012-11-06,heldout_evaluation,v2_fresh_final_evaluation
PUC,2012-11-07,heldout_evaluation,v2_fresh_final_evaluation
PUC,2012-11-08,heldout_evaluation,unused_reserve
PUC,2012-11-09,heldout_evaluation,unused_reserve
PUC,2012-11-10,adaptation_train,v2_train
PUC,2012-11-11,heldout_evaluation,unused_reserve
PUC,2012-11-20,heldout_evaluation,unused_reserve
UFPR04,2012-12-07,heldout_evaluation,unused_reserve
UFPR04,2012-12-08,heldout_evaluation,v2_fresh_final_evaluation
UFPR04,2012-12-11,adaptation_validation,v2_train
UFPR04,2012-12-12,heldout_evaluation,v2_fresh_final_evaluation
UFPR04,2012-12-13,heldout_evaluation,unused_reserve
UFPR04,2012-12-14,heldout_evaluation,unused_reserve
UFPR04,2012-12-15,heldout_evaluation,v2_validation
UFPR04,2012-12-16,heldout_evaluation,unused_reserve
UFPR04,2012-12-17,heldout_evaluation,unused_reserve
UFPR04,2012-12-18,heldout_evaluation,unused_reserve
UFPR04,2012-12-19,heldout_evaluation,unused_reserve
UFPR04,2012-12-20,heldout_evaluation,v2_fresh_final_evaluation
UFPR04,2012-12-21,adaptation_validation,unused_reserve
UFPR04,2012-12-22,heldout_evaluation,v2_train
UFPR04,2012-12-23,heldout_evaluation,unused_reserve
UFPR04,2012-12-24,heldout_evaluation,v2_fresh_final_evaluation
UFPR04,2012-12-25,heldout_evaluation,unused_reserve
UFPR04,2012-12-26,adaptation_train,unused_reserve
UFPR04,2012-12-27,heldout_evaluation,unused_reserve
UFPR04,2012-12-28,heldout_evaluation,v2_train
UFPR04,2012-12-29,heldout_evaluation,v2_fresh_final_evaluation
UFPR04,2013-01-15,heldout_evaluation,unused_reserve
UFPR04,2013-01-16,heldout_evaluation,unused_reserve
UFPR04,2013-01-17,heldout_evaluation,v2_validation
UFPR04,2013-01-18,heldout_evaluation,unused_reserve
UFPR04,2013-01-19,adaptation_train,unused_reserve
UFPR04,2013-01-20,heldout_evaluation,v2_fresh_final_evaluation
UFPR04,2013-01-21,heldout_evaluation,unused_reserve
UFPR04,2013-01-22,heldout_evaluation,v2_train
UFPR04,2013-01-29,heldout_evaluation,unused_reserve
UFPR05,2013-02-22,heldout_evaluation,v2_fresh_final_evaluation
UFPR05,2013-02-23,heldout_evaluation,v2_validation
UFPR05,2013-02-24,heldout_evaluation,v2_fresh_final_evaluation
UFPR05,2013-02-26,heldout_evaluation,unused_reserve
UFPR05,2013-02-28,heldout_evaluation,unused_reserve
UFPR05,2013-03-01,heldout_evaluation,unused_reserve
UFPR05,2013-03-02,heldout_evaluation,unused_reserve
UFPR05,2013-03-03,heldout_evaluation,unused_reserve
UFPR05,2013-03-05,heldout_evaluation,v2_fresh_final_evaluation
UFPR05,2013-03-06,heldout_evaluation,v2_fresh_final_evaluation
UFPR05,2013-03-09,adaptation_validation,unused_reserve
UFPR05,2013-03-10,heldout_evaluation,unused_reserve
UFPR05,2013-03-11,heldout_evaluation,unused_reserve
UFPR05,2013-03-12,heldout_evaluation,v2_train
UFPR05,2013-03-13,heldout_evaluation,v2_fresh_final_evaluation
UFPR05,2013-03-14,heldout_evaluation,unused_reserve
UFPR05,2013-03-15,heldout_evaluation,v2_train
UFPR05,2013-03-16,heldout_evaluation,v2_validation
UFPR05,2013-03-17,heldout_evaluation,unused_reserve
UFPR05,2013-03-18,adaptation_train,unused_reserve
UFPR05,2013-03-19,heldout_evaluation,v2_fresh_final_evaluation
UFPR05,2013-03-20,heldout_evaluation,unused_reserve
UFPR05,2013-03-21,heldout_evaluation,unused_reserve
UFPR05,2013-03-22,adaptation_train,unused_reserve
UFPR05,2013-04-08,heldout_evaluation,v2_train
UFPR05,2013-04-09,heldout_evaluation,unused_reserve
UFPR05,2013-04-10,heldout_evaluation,v2_train
UFPR05,2013-04-11,heldout_evaluation,v2_fresh_final_evaluation
UFPR05,2013-04-12,heldout_evaluation,unused_reserve
UFPR05,2013-04-13,heldout_evaluation,unused_reserve
UFPR05,2013-04-14,heldout_evaluation,unused_reserve
UFPR05,2013-04-15,heldout_evaluation,unused_reserve
UFPR05,2013-04-16,adaptation_validation,unused_reserve
